Models,,,,,,,,,,,,
,,,,,,,,,,,,
update,segment_var_name,pline_variable,_bm_model_name,_bm_model_description,_bm_model_hide,_bm_model_modelsBefore,_bm_model_modelsAfter,_bm_model_image,_bm_model_descriptionLocation,model_variable,security_,guid
add,familyBsgCatalog2014,plineLongDistance,Long Distance Lite Model,Dummy model - used as a container to display LITE Model punchins.,1,"liteCallingCard,
liteIPLD,
liteIPTollFree,
liteLDCallingPlansQLDC,
liteLDDedicated,
liteLDMeasuredTollService,
liteLDSwitched,
nwxLDSwitched,
liteTollFreeDedicated,
liteTollFreeSwitched,
nwxTollFree",,,hidden,modelCntnrLongDistanceLite,,int1CenturyLink200134
add,familyBsgCatalog2014,plineLongDistance,Long Distance Detail Model,Dummy model - used as a container to display DETAIL Model punchins.,1,,,,hidden,modelCntnrLongDistanceDetail,,int1CenturyLink200135
add,familyBsgCatalog2014,plineOtherData,Oter Data Lite Model,Dummy model - used as a container to display LITE Model punchins.,1,"liteDarkFiber,liteE911,nwxDarkFiber",,,hidden,modelCntnrOtherDataLite,,int1CenturyLink200136
add,familyBsgCatalog2014,plineOtherData,Oter Data detail Model,Dummy model - used as a container to display DETAIL Model punchins.,1,,,,hidden,modelCntnrOtherDataDetail,,int1CenturyLink200137
add,familyBsgCatalog2014,plinePrivateLineAndEthernet,Private Line Ethernet Lite Model,Dummy model - used as a container to display LITE Model punchins.,1,"liteELineLongHaul,
ctlPunchinElineLite,
ctlModelCntnrEline,
liteELineMetro,
liteEthernetPrivateLine,
liteGeomax,
liteMetroEthernet,
liteOpticalWavelengthSvcLongHaul,
liteOpticalWavelengthSvcMetro,
litePrivateLine,
litePrivateLineDomesticDigital,
litePrivateLineInternational,
litePrivateLineOther,
nwxWave,
nwxMOE,
nwxPrivateLineDomesticDigital,
nwxPrivateLineSonet",,,hidden,modelCntnrPrivateLineAndEthernetLite,,int1CenturyLink200138
add,familyBsgCatalog2014,plinePrivateLineAndEthernet,Private Line Ethernet Detail Model,Dummy model - used as a container to display DETAIL Model punchins.,1,"here goes the eline name,",,,hidden,modelCntnrPrivateLineAndEthernetDetail,,int1CenturyLink200139
add,familyBsgCatalog2014,plineVideo,Video Lite Model,Dummy model - used as a container to display LITE Model punchins.,1,"supsIPTV,liteSatelliteTV",,,hidden,modelCntnrVideoLite,,int1CenturyLink200140
add,familyBsgCatalog2014,plineVideo,Video Detail Model,Dummy model - used as a container to display DETAIL Model punchins.,1,,,,hidden,modelCntnrVideoDetail,,int1CenturyLink200141
add,familyBsgCatalog2014,plineVoiceServices,Voice Services Lite Model,Dummy Model - Used as a container to display punchins.,1,"liteConferencing,
nwxConferencing,
nwxContactCenter,
liteDirectoryAssistance,
liteListings,
liteWireless,
nwxWireless",,,hidden,modelCntnrVoiceServicesLite,,int1CenturyLink200142
add,familyBsgCatalog2014,plineVoiceServices,Voice Services Detail Model,Dummy Model - Used as a container to display punchins.,1,,,,hidden,modelCntnrVoiceServicesDetail,,int1CenturyLink200143
