"Models"

"update","segment_var_name","pline_variable","_bm_model_name","_bm_model_description","_bm_model_hide","_bm_model_modelsBefore","model_variable","security_","guid",
"add","familyBSGSalesOfferCatalog","lineCtlSocLongDistance","Lite Model Long Distance","Dummy Model - Used as a container to display punchins","1","liteCallingCard,
liteIPLD,
liteIPTollFree,
liteLDCallingPlansQLDC,
liteLDDedicated,
liteLDMeasuredTollService,
liteLDSwitched,
nwxLDSwitched,
liteTollFreeDedicated,
liteTollFreeSwitched,
nwxTollFree,","modelCntnrLongDistanceLite",,"3b43f8f9-d40a-478c-898b-4cee4e732f19",
"add","familyBSGSalesOfferCatalog","lineCtlSocLongDistance","Detail Model Long Distance","Dummy Model - Used as a container to display punchins","1","ctlPunchinlite8xxVT","modelCntnrLongDistanceDetail",,"bacc8000-0a49-4072-b71e-5aeb068cd494",
